"censusblock_id","tr10","tr50","tr500","tr100","tr25","tr2","tr5"
8269,0.8777508651,0.8271032704,0.749432264,0.8044195685,0.8496049212,0.9244009322,0.8978831217
8270,0.8700677896,0.8188508723,0.7442579479,0.7956558685,0.8417866712,0.9202689099,0.8907177456
8271,0.8970834589,0.8573055972,0.7977465955,0.8386564209,0.8743080613,0.9419258986,0.9153096959
8272,0.8068325687,0.7294668436,0.6350791725,0.7000971514,0.7649569679,0.8814410972,0.8394763937
8273,0.8767875365,0.8261134197,0.7557987953,0.8048689902,0.8489779848,0.9217627714,0.897907655
8274,0.8963548267,0.8607527518,0.8059823212,0.8437032058,0.8756665732,0.9342163838,0.9117231861
8275,0.8633804373,0.795966926,0.709150096,0.7660039313,0.8255936497,0.9210972033,0.8873908281
8276,0.844149092,0.7761302872,0.6857205033,0.7494131067,0.8056615834,0.908615119,0.8715344487
8277,0.9423663432,0.9079870732,0.8601202129,0.8905506747,0.9232016817,0.9678,0.9541130109
8278,0.8345110501,0.7631440314,0.6667906548,0.7340680485,0.7953381661,0.9030596001,0.8681947915
8279,0.8577858609,0.8012185271,0.7242695921,0.7768489189,0.8249055558,0.9162666424,0.8843851011
8280,0.8691332867,0.8220252927,0.7484006351,0.7999133624,0.8412746339,0.9203662604,0.8907234827
8281,0.9052504675,0.8663119886,0.8063616891,0.8471780903,0.8831198137,0.9444254242,0.9250475641
8282,0.8989216029,0.8597838549,0.8021942679,0.8402792088,0.8777168038,0.9363715822,0.9157002559
8283,0.8805015512,0.8320578013,0.7582043257,0.8100820379,0.8546324976,0.9282871141,0.9009788456
8284,0.9322828481,0.905251184,0.8573289076,0.8913713689,0.9161411963,0.9581842874,0.9445842674
8285,0.8946826698,0.8561021167,0.7905909151,0.8368331351,0.8716920899,0.9326831685,0.9121745993
8286,0.7211784729,0.6272452945,0.4916934665,0.5832902112,0.6702776324,0.8203545765,0.7614031599
8287,0.7520194795,0.6532052001,0.5170180884,0.6109689548,0.697853558,0.8515059687,0.7943932838
8288,0.8267061911,0.7605699397,0.6649764998,0.7295321394,0.7892936029,0.8970293991,0.8556025316
8289,0.8091037972,0.7388666795,0.6427464427,0.7079895286,0.771101509,0.8915708532,0.8414792602
8290,0.8254304841,0.7614733354,0.670856908,0.7328763099,0.7890182458,0.8956056148,0.8551684458
8291,0.8897596426,0.8418991334,0.7797843956,0.8233620547,0.8632796837,0.9318617681,0.9095685771
8292,0.9495767028,0.9260651039,0.886850032,0.9149763242,0.9390043431,0.9726,0.9616659023
8293,0.9292005978,0.8968131772,0.8466491308,0.8822870923,0.9134619171,0.9613294108,0.9440468481
8294,0.936698763,0.9074871801,0.8615504893,0.8945393452,0.9195724589,0.9613900192,0.9468545059
8295,0.9101885441,0.8729757747,0.8168715168,0.8555964055,0.8881862265,0.9446933367,0.924350424
8296,0.7682063588,0.681878078,0.5628086222,0.6460466177,0.7175777348,0.8646012491,0.806550163
8297,0.7680223666,0.6754693952,0.547561537,0.6331409155,0.7158582953,0.8607614941,0.8074762814
8298,0.6914836803,0.5757562455,0.4258973036,0.5271725765,0.6258054415,0.8084248527,0.7415560719
8299,0.8505893967,0.7924409268,0.7094813985,0.7659390913,0.8132414736,0.9063117693,0.8690480811
8300,0.890626691,0.8404711615,0.7640085874,0.8129504068,0.8623854217,0.9355356902,0.9109070377
8301,0.9024430738,0.862854673,0.8034436773,0.8423507003,0.8788116147,0.9456189027,0.921214099
8302,0.9174145633,0.8827573064,0.8240897982,0.8653313301,0.898871144,0.951312303,0.9334413579
8303,0.9393436648,0.911622311,0.8670401625,0.8969406322,0.9255795133,0.9646405395,0.9513188677
8304,0.922375277,0.880504925,0.8250836803,0.8644441585,0.9010706843,0.9523915682,0.9354572621
8305,0.8757344402,0.8305469757,0.7571952033,0.806518488,0.8513618872,0.9256137701,0.8975241413
8306,0.9468074632,0.9189363898,0.8817548556,0.9077300171,0.9322772044,0.9676,0.9550961575
8307,0.7106793046,0.6090765838,0.4685497743,0.5689733296,0.6508548825,0.8340403344,0.7644025589
8308,0.8109292667,0.7336502164,0.6308929804,0.7017550071,0.764838791,0.8866210664,0.8390470764
8309,0.8600867644,0.8031313463,0.724197536,0.7784492859,0.8273409165,0.9178057576,0.8864584895
8310,0.8292843203,0.7620532062,0.6710100155,0.7324682213,0.7901868825,0.9038349919,0.8633848326
8311,0.8953849942,0.8498264622,0.7778927898,0.8286222874,0.8646234664,0.9395538638,0.9141182619
8312,0.8924454559,0.8484329501,0.7800328275,0.8297667342,0.8664458062,0.9412364076,0.9155500771
8313,0.9319542148,0.8976714408,0.8460798793,0.8807007631,0.9130818634,0.957309219,0.9432006451
8314,0.9549870775,0.9261420149,0.888516929,0.9142086402,0.9398137669,0.9736,0.9612811677
8315,0.9392035219,0.9062180895,0.8656554969,0.890188942,0.9207619247,0.967,0.9525663974
8316,0.923392059,0.8897969639,0.8403442186,0.8755365688,0.9042607862,0.9540983893,0.938600591
8317,0.9348943338,0.9062664009,0.8606031918,0.8924049985,0.9196125553,0.9599162568,0.9460837309
8318,0.8563443315,0.8015355135,0.7264996406,0.7784247501,0.8252165115,0.9099830812,0.8777833721
8319,0.9615519299,0.9438922655,0.9171471935,0.9359101043,0.9506201838,0.975,0.9682
8320,0.9366505605,0.9101835278,0.8754841619,0.89941133,0.9216528553,0.9607057279,0.9487525978
8321,0.9048645261,0.8616814687,0.8015971556,0.8429504344,0.8801860649,0.9422492288,0.9213752732
8322,0.9554953928,0.9305425365,0.8948439522,0.9219883016,0.941335376,0.973,0.9637599622
